Player,Match,Balls Faced,Wickets,Runs,Balls Bowled,Maiden Overs,Fours,Sixes
K Dasan (),3,3,0,114,108,0,10,2
S Kaveri (Mex),7,6,1,114,146,0,9,1
WD Parnell (SA),40,13,9,114,96,0,10,3
Chirag Suri (UAE),7,7,1,113,121,0,10,2
DL Maddy (ENG),4,4,0,113,80,0,12,3
M Abdulla (MWI),5,5,2,112,100,0,11,2
Fiaz Ahmed (BAH),4,4,2,112,72,1,6,8
SP Khakurel (NEPAL),8,8,0,112,139,0,10,1
JS Malhotra (USA),6,6,0,112,104,0,12,2
Mohammad Boota (UAE),16,12,4,112,100,1,7,5
Mudassar Muhammad (GER),7,7,0,112,135,0,5,3
AP Devcich (NZ),4,4,0,111,79,0,17,2
JO Holder (WI),17,11,2,111,84,2,10,4
Imran Ali Butt (BAH),4,4,0,111,101,2,5,6
JNK Shannon (IRE),8,8,0,111,84,1,12,5
SP Fleming (NZ),5,5,0,110,85,0,20,0
A Lark (Aut),5,4,0,110,121,1,15,0
Anwar Ali (PAK),16,11,4,109,77,0,6,6
MG Johnson (AUS),30,17,7,109,95,2,8,3
T van der Gugten (NL),39,11,4,109,81,1,4,6
Harbhajan Singh (INDIA),28,13,5,108,87,1,11,4
Mohammad Saifuddin (BDESH),13,9,3,108,95,0,9,3
B Zuiderent (NL),6,6,1,108,124,0,8,1
OGL Bascome (BMUDA),11,11,1,107,117,0,12,3
SO Ngoche (KENYA),28,18,5,107,118,2,5,4
GJ Thompson (IRE),10,8,1,107,108,2,14,1
V Vijh (LUX),4,4,2,107,119,0,13,1
K Doriga (PNG),17,11,1,106,103,0,3,3
NA Maiolo (ITA),8,7,1,106,104,0,11,2
MD Dai (PNG),9,8,0,105,128,0,4,0
OJ Hairs (SCOT),8,8,1,105,64,2,4,10
JR Hopes (AUS),12,7,2,105,98,0,7,1
ND Laegsgaard (DEN),9,8,1,105,96,0,11,2
M Mosehle (SA),7,6,1,105,65,0,6,9
Meet Bhavsar (KUW),9,7,1,104,88,0,10,1
LA Dunbar (Serb),2,2,1,104,62,1,5,10
Sultan Ahmed (OMAN),17,12,3,104,83,3,14,0
GP Swann (ENG),39,16,11,104,89,2,9,1
SM Davies (ENG),5,5,0,102,82,0,12,0
Rehman Abdul (ITA),7,5,3,102,103,0,7,3
Suraj Kumar (OMAN),13,9,2,102,89,0,9,3
LJ Tucker (IRE),14,11,1,102,99,1,10,1
Ammad Uddin (BAH),4,4,1,101,53,0,11,5
MNR Cooray (Mald),4,3,1,101,77,0,12,3
S Jora (NEPAL),6,6,1,101,83,1,5,4
AV Lalcheta (OMAN),17,10,2,101,82,0,9,4
B Lee (AUS),25,12,6,101,71,2,9,4
Mohammed Nurji (MWI),6,5,3,101,59,0,8,6
T Perera (Botsw),6,6,0,101,127,0,16,0
V Shankar (INDIA),9,4,0,101,73,0,11,5
S Dhaniram (CAN),11,9,0,100,123,0,6,2
Hamza Tariq (CAN),15,11,1,100,82,2,4,5
T Maruma (ZIM),13,13,4,100,109,1,6,4
BS Stephenson (Blz),3,3,0,100,72,0,9,7
BR Dunk (AUS),5,5,0,99,69,0,8,6
BFW de Leede (NL),8,7,1,98,114,0,4,2
Irfan Bhima (MWI),4,4,0,98,88,2,13,2
Janak Prakash (SGP),12,11,3,98,78,2,9,3
BR McDermott (AUS),12,10,3,98,105,2,6,2
TK Musakanda (ZIM),6,6,0,98,80,2,7,2
Amir Ali (OMAN),10,8,3,97,65,0,11,2
BOP Fernando (SL),3,3,1,97,73,0,10,3
DJ Mitchell (NZ),9,9,3,97,79,0,5,4
Muhammad Kaleem (UAE),9,9,0,97,116,1,9,3
Aminuddin Ramly (MAL),10,9,2,97,59,1,3,9
AM Samad (CAN),7,6,0,97,88,1,8,4
S Samarawickrama (SL),7,7,0,97,93,1,9,0
AJ Staal (NL),9,8,2,97,79,2,5,5
GM Strydom (Caym),6,6,0,97,89,2,6,5
Zaheer Ibrahim (QAT),13,11,3,97,89,2,7,5
Ahmed Raza (UAE),36,14,7,96,123,1,2,4
RS Morton (WI),7,7,1,96,103,1,8,2
Razmal Shigiwal (Aut),4,3,0,96,78,0,3,8
ML Udawatte (SL),8,8,0,96,87,2,10,2
MH Yardy (ENG),14,8,5,96,72,3,9,1
TM Odoyo (KENYA),11,10,0,95,119,1,6,2
NS Poonia (SCOT),8,7,2,95,108,2,3,1
Shamsudheen Purat (Saudi),3,3,1,95,53,1,8,7
HJ Jordaan (THAI),4,4,1,94,107,0,8,0
Mehidy Hasan Miraz (BDESH),13,11,2,94,80,2,7,4
JH Stander (SCOT),11,11,2,94,90,3,6,4
JJ Tucker (BMUDA),5,5,1,94,97,0,11,1
P Utseya (ZIM),35,21,9,94,115,3,6,1
J Cutinho (CRC),3,3,0,93,98,0,7,4
Walid Ghauri (NOR),4,4,1,93,80,0,10,2
JL Denly (ENG),10,9,1,92,93,2,11,1
MC Sorensen (IRE),26,11,6,92,79,1,4,3
D Wiese (SA),20,11,4,92,75,1,4,3
Yasir Arafat (PAK),13,11,4,92,79,0,8,2
Anwar Arudin (MAL),12,12,0,91,98,3,10,2
Raees Ahmadzai (AFG),8,6,3,91,84,0,5,1
Saeed Ajmal (PAK),64,23,12,91,86,3,7,2
CR Woakes (ENG),8,7,4,91,63,1,4,5
GM Hamilton (SCOT),12,8,0,90,110,0,6,1
JN Mohammed (WI),9,8,3,90,103,1,9,1
Muhammad Naeem (Saudi),5,4,2,90,91,1,7,1
Sagar Pun (NEPAL),9,9,0,90,100,0,13,0
DLS van Bunge (NL),14,12,4,90,104,2,2,3
GH Worker (NZ),2,2,0,90,64,0,6,5
S Adedeji (NGA),6,6,2,89,114,1,5,2
Mohammad Nadeem (OMAN),22,13,3,89,106,1,7,0
A Otwani (UGA),4,4,0,89,78,0,13,1
A Ferguson (Arg),5,3,1,88,100,0,5,1
N Madziva (ZIM),15,10,5,88,80,1,4,5
Md Shafiqul Haque (THAI),4,4,0,88,62,0,5,6
Zishan Shah (DEN),6,5,1,88,87,0,7,1
PS Airee (NEPAL),11,11,0,87,93,4,10,1
SC Getkate (IRE),14,12,2,87,73,1,4,4
Mandeep Singh (INDIA),3,3,1,87,73,0,11,1
D Pretorius (SA),6,2,2,87,49,0,7,4
Raza Iqbal (NOR),5,5,0,87,89,0,13,0
DI Allan (KENYA),10,10,0,86,135,0,7,0
AR Gandhi (KENYA),3,3,1,86,98,0,5,1
GJ Hopkins (NZ),10,8,0,86,71,0,5,5
SM Pollock (SA),12,9,2,86,70,3,4,4
Shamsur Rahman (BDESH),9,8,0,86,85,2,12,1
DP Michael (Samoa),4,4,1,85,82,1,1,6
AR Nurse (WI),13,8,6,85,71,0,7,3
MD Patel (USA),8,8,1,85,88,0,6,4
RML Taylor (SCOT),9,6,3,85,58,0,6,4
N Khosla (MALTA),4,4,0,84,95,0,3,2
IO Okpe (NGA),8,8,0,84,109,0,2,2
Afif Hossain (BDESH),8,7,0,83,63,2,10,1
JH Davey (SCOT),21,10,5,83,63,0,5,3
PF Gallagher (Fin),3,3,0,83,68,0,4,5
JK Kamande (KENYA),12,9,0,83,92,2,5,3
Manpreet Singh (ITA),8,6,0,83,98,0,10,1
AC Agar (AUS),21,7,1,82,79,0,6,3
FA Cossa (Moz),6,6,2,82,90,0,6,4
AS Hansra (CAN),8,8,2,82,85,0,4,3
AK Mohan (Fin),5,5,0,82,72,1,9,1
Muhammad Awais (),3,3,2,82,59,0,12,1
TD Paine (AUS/World),12,9,1,82,77,2,7,3
Shaikh Ashraf (Peru),4,4,0,82,67,0,8,3
RM Siri (Arg),4,4,1,82,80,1,6,1
Aaron Jones (USA),8,7,3,81,81,0,3,2
MO Jones (BMUDA),8,7,2,81,83,0,5,3
Ahsan Abbasi (HKG),6,6,0,80,87,0,7,2
DAP Darrell (BMUDA),11,10,1,80,95,1,1,5
Faizan Asif (UAE),6,6,0,80,64,0,9,3
Ijaz Hussain (ROM),3,3,0,80,76,0,7,6
RK Paudel (NEPAL),11,10,2,80,89,0,7,0
CP Rizwan (UAE),5,4,0,80,73,0,10,1
ZE Green (NAM),16,11,3,79,78,1,4,3
CD Barnwell (WI),6,6,2,78,62,1,4,4
Nurul Hasan (BDESH),9,8,4,78,63,1,9,0
GG Banner (Blz),3,3,1,77,65,0,1,8
Sandeep Goud (OMAN),12,7,3,77,72,0,3,3
Shahid Wasif (HKG),9,8,3,77,66,1,3,1
SA Wijeyeratne (CAN),2,2,0,77,51,0,12,0
T Bavuma (SA),2,2,1,76,66,0,5,2
A Flintoff (ENG),7,7,1,76,60,1,7,2
DR Hooper (GUE),9,8,3,76,91,1,3,1
Imran Farhat (PAK),7,7,0,76,70,1,14,0
Irfan Ahmed (HKG),8,8,0,76,83,2,4,6
HB Kayondo (UGA),3,3,0,76,69,0,2,4
NFI McCallum (SCOT),11,7,0,76,85,3,7,1
S Matsikenyeri (ZIM),10,10,0,76,82,2,6,3
Rizwan Mahmood (DEN),5,4,0,76,61,0,3,3
VS Solanki (ENG),3,3,0,76,61,0,10,1
NR Kirton (CAN),5,5,2,75,83,0,4,1
NJ Astle (NZ),4,4,1,74,67,0,7,2
Hirenkumar Patel (Chile),4,4,0,74,82,0,9,1
S Hirugade (Mex),6,6,0,74,86,1,8,2
KO Otieno (KENYA),4,4,0,74,79,0,5,2
SI Runsewe (NGA),6,6,1,74,87,1,4,0
G Venkateswaran (LUX),3,3,1,74,58,0,10,1
J Vira (VAN),14,12,4,74,68,1,7,2
NT Broom (NZ),11,7,1,73,68,0,8,1
TS Fray (BMUDA),10,10,1,73,96,3,9,0
Khurram Khan (UAE),3,3,0,73,73,0,8,0
AR McBrine (IRE),19,11,5,73,70,1,6,1
C Munoz-Mills (ESP),9,7,3,73,66,0,5,3
AM Oyede (NGA),8,8,1,73,104,2,5,1
AL Phehlukwayo (SA),23,11,5,73,66,3,10,1
AJ Strauss (ENG),4,4,0,73,64,1,9,0
RA Thomas (CAN),8,8,1,73,95,1,7,1
Farhad Reza (BDESH),13,9,0,72,88,1,4,2
Haroon Mughal (MALTA),4,4,0,72,65,0,6,1
Hassan Rasheed (Mald),8,7,0,72,100,0,4,1
A Pusthay (Fin),5,5,0,72,60,0,5,1
AS Wright (GUE),8,7,0,72,84,1,6,3
Sahir Naqash (GER),7,5,1,71,52,2,2,5
T Taylor (Caym),6,6,2,71,91,0,2,5
Abdul Hashmi (DEN),8,5,1,70,66,1,4,0
Awais Zia (PAK),5,5,0,70,80,0,4,3
FF Mulivai (Samoa),4,4,0,70,37,1,2,8
Hafez Farooq (Peru),4,4,0,69,68,0,7,2
C Hauptfleisch (Caym),5,5,0,69,85,1,4,2
Ibrarul Haq (Saudi),5,4,0,69,47,1,6,4
SM Katich (AUS),3,2,0,69,47,0,8,2
TB Sole (SCOT),9,6,2,69,43,0,9,1
J Umanath (Mex),7,7,1,69,77,1,7,2
R Ankad (Mex),8,7,3,68,72,2,7,0
AG Cremer (ZIM),29,19,6,68,102,2,2,0
Dawlat Zadran (AFG),34,17,8,68,42,3,4,6
TM Dowlin (WI),2,2,1,68,69,0,8,0
R Escobar (Arg),5,4,1,68,76,0,6,1
AR Patel (INDIA),11,7,3,68,54,0,3,3
Sikander Zulfiqar (NL),11,8,1,68,68,0,5,0
JNT Vare (PNG),8,7,0,68,71,0,4,0
C Viljoen (NAM),12,7,3,68,70,0,7,1
Waqas Khan (HKG),8,7,3,68,89,1,3,2
Hilal Ahmad (CZK-R),7,7,2,67,59,0,6,1
AJ Michael (Samoa),4,4,1,67,69,0,5,2
Zawar Farid (UAE),4,4,0,67,53,0,5,3
Abraash Khan (CAN),7,4,0,66,60,0,7,1
PHKD Mendis (SL),4,4,0,66,46,1,6,3
Waheed Ahmed (UAE),10,9,4,66,80,0,6,2
J Bulele (Moz),7,7,0,65,95,1,8,0
SC Kuggeleijn (NZ),9,5,3,65,30,1,4,6
H Lakov (),3,3,0,65,62,0,5,0
Shoaib Khan jnr (PAK),4,4,0,65,74,1,7,0
FA Allen (WI),11,9,2,64,56,2,5,3
Anique Uddin (DEN),6,6,0,64,79,0,3,0
Ansar Iqbal (NOR),4,4,0,64,72,0,6,1
B Arora (MALTA),4,4,0,64,64,0,5,3
K Birkenstock (NAM),4,2,0,64,33,0,7,4
S Dube (INDIA),6,4,2,64,42,0,3,4
RM Haq (SCOT),21,12,7,64,96,1,2,1
DP Hyatt (WI),5,5,1,64,54,0,4,4
G Manan (ROM),3,3,0,64,52,0,11,1
A Natubhai Ahir (PNM),3,3,0,64,59,0,10,1
WB Rankin (ENG/IRE),48,15,8,64,74,2,3,3
DJ Reekers (NL),6,5,0,64,49,1,10,2
Sadeeq Khan (ROM),3,3,1,64,42,0,3,6
Usman Waheed (KUW),6,4,1,64,61,1,6,1
V Balakrishnan (Botsw),3,3,1,63,82,0,6,1
LJ Barker (GUE),9,8,0,63,69,3,8,0
Imran Ismail (Moz),7,7,0,63,58,0,7,3
Kuldeep Lal (ESP),8,3,0,63,41,0,3,2
AN Cook (ENG),4,4,0,61,54,0,10,0
OD Hald (DEN),9,8,1,61,57,1,4,2
Hasan Ali (PAK),30,10,5,61,35,2,3,5
PD McGlashan (NZ),11,9,1,61,64,0,6,2
R Nehonde (Botsw),7,7,1,61,79,1,3,1
NM Odhiambo (KENYA),16,8,2,61,94,2,4,1
A Sathya (Mex),3,3,0,61,61,0,3,2
PH Shamdasani (Peru),4,4,1,61,72,0,3,1
AJ Tye (AUS),26,11,5,61,55,2,4,3
DE Budge (SCOT),6,4,2,60,59,0,2,3
JWM Dalrymple (ENG),3,3,0,60,57,0,6,0
LM Jongwe (ZIM),8,7,0,60,65,2,4,1
J Kila (PNG),12,5,3,60,31,0,4,5
Mohammad Adnan (Saudi),5,3,3,60,31,0,4,5
Mominul Haque (BDESH),6,4,1,60,50,0,5,2
P Mustard (ENG),2,2,0,60,37,0,5,4
Zameer Khan (DEN),2,2,1,60,61,0,4,0
Zeeshan Siddiqui (OMAN),5,5,1,60,63,0,7,0
Ariful Haque (BDESH),9,8,4,59,61,1,4,0
DR Flynn (NZ),5,5,0,59,51,0,1,4
Hayatullah Niazi (NOR),4,4,1,59,47,0,3,3
Mohammad Amir (PAK),48,14,6,59,72,2,2,3
Muhammad Saleem (),4,4,0,59,54,0,5,1
AK Perera (SL),6,5,0,59,65,0,5,1
IS Sodhi (NZ),40,7,3,59,56,1,4,3
Aamer Ikram (PORT),4,4,0,58,73,0,4,4
Abu Hider (BDESH),13,5,4,58,43,0,5,4
D Heyliger (CAN),11,7,5,58,42,1,2,3
JJ Huo (Moz),7,7,0,58,61,1,7,2
DF Jacobs (THAI),4,4,0,58,82,0,7,0
K Mendon (CZK-R),6,4,4,58,51,0,5,2
Mohamed Azzam (Mald),7,6,2,58,61,1,6,0
Shaheryar Butt (Belg),3,3,1,58,55,0,3,4
CJO Smith (SCOT),8,6,1,58,54,3,6,0
Alok Kapali (BDESH),7,7,2,57,85,2,3,1
Fayyaz Butt (OMAN),14,6,4,57,48,0,4,2
C Jonker (SA),2,2,0,57,29,0,5,3
A Makesh (KUW),4,2,1,57,41,0,3,4
GP Meade (ITA),8,5,0,57,63,0,4,1
A Sarma (GER),3,3,0,57,67,0,3,1
P Sarraf (NEPAL),9,8,1,57,84,3,9,0
Sohag Gazi (BDESH),10,7,3,57,59,0,3,1
AJ Turner (AUS),11,7,3,57,57,1,1,2
Amjad Sher (Fin),5,5,0,56,36,0,1,4
T Banton (ENG),3,3,0,56,34,0,6,3
JM How (NZ),5,5,0,56,67,0,5,1
EB Knowles (CZK-R),7,6,2,56,54,1,7,1
P Manning (Caym),6,6,1,56,89,1,4,0
MJ Ross (ITA),8,5,1,56,42,0,2,3
SMSM Senanayake (SL),24,12,6,56,66,2,3,1
D Ajekun (NGA),6,6,0,55,81,0,6,1
MNM Aslam (KUW),6,4,0,55,59,1,4,1
C Carter (HKG),10,5,1,55,63,0,3,0
N Deonarine (WI),8,7,2,55,53,3,5,0
PWH de Silva (SL),8,7,3,55,50,0,3,0
GB Hogg (AUS),15,4,0,55,39,0,3,3
KM Jarvis (ZIM),22,12,5,55,64,4,1,4
Mirza Ahsan (Aut),5,3,2,55,18,0,2,7
OE Newey (GUE),7,6,1,55,66,1,2,0
R Satheesan (ROM),4,3,1,55,42,0,3,4
HS Baidwan (CAN),17,11,2,54,52,4,4,1
JW Chilia (VAN),14,7,4,54,54,0,3,3
M Dixit (LUX),3,2,0,54,59,0,6,2
GD Drummond (SCOT),17,7,0,54,65,2,3,0
JSE Dunford (JER),17,9,3,54,67,3,2,0
MSS Mandy (Chile),4,4,0,54,67,0,8,0
SMA Priyanjan (SL),3,3,2,54,62,0,1,2
BA King (WI),6,5,0,53,50,0,6,1
Usman Limbada (CAN),7,3,2,53,41,0,6,0
MRJ Watt (SCOT),35,11,6,53,40,1,6,1
TS Bharaj (DEN),9,8,0,52,77,1,2,0
G Caisley (),4,4,0,52,60,1,3,2
SJ Cotter (Samoa),4,4,0,52,62,0,4,1
RP Magar (NEPAL),6,6,0,52,89,1,0,3
A Manousis (),3,3,1,52,49,0,5,1
DM Nakrani (UGA),4,4,1,52,48,0,2,3
Ovais Yousof (NGA),3,3,0,52,70,0,5,0
IS Billcliff (CAN),2,2,0,51,39,0,3,2
TGJ Gruijters (NL),8,5,3,51,47,0,3,1
V Mbazo (Botsw),4,3,1,51,67,0,3,0
Raqibul Hasan (BDESH),5,5,0,51,62,0,3,1
AU Rashid (ENG),40,15,8,51,61,0,4,0
HA Varaiya (KENYA),25,12,11,51,81,0,1,0
Hamid Hassan (AFG),22,9,6,50,46,0,3,2
Md Nurul Huda (Fin),5,4,2,50,32,0,4,2
Mohammad Yousuf (PAK),3,3,0,50,43,0,5,1
MJ Richardson (GER),3,3,2,50,38,0,7,0
Ameel Mauroof (Mald),10,8,4,49,63,0,3,0
U Bhatti (CAN),7,7,3,49,48,0,3,1
G Chaturvedi (MALTA),2,2,0,49,29,0,6,1
A Dananjaya (SL),22,12,4,49,57,2,6,0
JN Frylinck (NAM),14,7,4,49,47,1,2,1
CU Jayasinghe (SL),5,3,2,49,49,0,3,1
Junaid Siddiqui (CAN),13,7,3,49,41,1,2,2
HG Kuhn (SA),7,6,2,49,42,0,3,2
Nanda Kumar (CRC),3,3,0,49,58,1,3,2
SD Outerbridge (BMUDA),3,3,1,49,51,0,2,1
DA Rankin (IRE),2,2,0,49,54,0,3,2
Saber Zakhil (Belg),3,3,0,49,35,0,2,3
DC Smith (PHI),4,4,1,49,53,0,5,0
K Weeraratne (SL),5,5,2,49,45,0,4,1
S Jamil (Belg),3,3,0,48,49,0,5,2
Muhammad Nadeem (Saudi),5,3,0,48,49,0,7,1
MIA Patel (MWI),3,2,1,48,44,0,6,1
Qalandar Khan (QAT),4,3,0,48,43,0,2,3
YSD Seneveratne (Caym),6,6,0,48,79,1,5,1
J Singye (BHU),2,2,0,48,64,0,2,0
C Zhuwao (ZIM),7,7,0,48,66,4,7,1
M Aboagye (Ghana),3,3,1,47,53,0,3,0
VD Adewoye (NGA),7,6,2,47,42,2,4,2
Delawar Khan (DEN),9,8,1,47,40,2,0,4
D Weston (GER),6,6,0,47,54,2,5,1
SA Ahmad (DEN),5,3,1,46,54,0,2,0
KM Dabengwa (ZIM),8,7,3,46,40,0,4,2
K Gupta (Chile),4,4,1,46,64,1,1,0
JW Hastings (AUS),9,6,2,46,37,0,3,1
Z Hoque (THAI),3,3,0,46,35,0,4,2
MM Iqbal (SCOT),6,3,0,46,45,0,4,1
RJ Trott (BMUDA),15,10,4,46,84,2,3,0
JJ van der Wath (SA),8,4,1,46,39,0,3,1
Anasim Khan (BAH),4,3,1,45,39,0,2,1
S Ateak (Ghana),3,3,0,45,48,0,6,1
R Bakum (Ghana),4,4,0,45,45,1,4,2
Haseeb Amjad (HKG),18,10,6,45,45,0,3,1
MG Hunter (GIBR),4,3,0,45,61,0,2,1
NJ Maddinson (AUS),6,4,0,45,35,0,6,1
Mamoon Latif (Belg),3,3,0,45,52,0,2,2
T Munyonga (ZIM),5,3,2,45,34,0,3,1
Nazril Rahman (MAL),7,4,1,45,45,0,4,0
VE Tembo (Moz),6,5,2,45,52,0,2,0
Yasar Haroon (),4,4,0,45,62,0,4,1
Zohaib Sarwar (PORT),4,4,1,45,46,2,1,4
Abrar Bilal (Aut),3,2,0,44,24,0,6,2
AJ Ayannaike (NGA),3,3,0,44,43,1,4,2
AA Banner (Blz),3,2,0,44,29,0,4,3
JM Davison (CAN),5,5,0,44,40,2,2,3
L Emilio (Moz),5,4,0,44,35,0,4,1
GF Gomes (Moz),7,6,1,44,46,1,6,1
Ismat Ullah (),4,4,0,44,47,1,4,1
Saad Nasim (PAK),3,2,0,44,53,0,0,1
S Badree (WI/World),52,16,10,43,65,0,1,1
S Badrinath (INDIA),1,1,0,43,37,0,5,0
P Baron (Arg),5,3,0,43,38,0,0,4
NO Miller (WI),9,5,4,43,47,0,2,0
P Mishra (),3,3,1,43,26,0,3,4
Mustafizur Rahman (BDESH),37,15,5,43,55,4,3,3
Saad Bin Zafar (CAN),11,4,1,43,33,0,3,2
M Sohel Patel (PNM),2,2,0,43,39,0,2,3
Amjad Ali (UAE),5,5,1,42,52,0,6,0
F Baaleri (Ghana),4,4,0,42,60,0,6,0
NG Jones (IRE),5,4,2,42,38,1,1,2
Mohamed Mahfooz (Mald),11,5,0,42,53,0,3,0
Muaviath Ganee (Mald),5,4,0,42,44,0,3,1
LE Plunkett (ENG),22,11,4,42,34,3,3,1
AT Rayudu (INDIA),6,5,1,42,50,2,5,0
M Sert (TKY),4,4,1,42,59,0,5,0
DC Stovell (BMUDA),6,6,1,42,50,1,5,0
JK Vifah (Ghana),3,3,0,42,45,0,2,1
KJ Young (Blz),3,3,2,42,34,0,3,1
Abdul-Shakoor Rahimzei (GER),7,5,1,41,33,0,2,1
Abdur Razzak (BDESH),34,20,10,41,74,5,1,0
Ainool Hafizs (MAL),3,3,0,41,39,0,3,1
A Ashokan (CZK-R),2,2,0,41,29,0,2,3
K Jethi (CAN),5,5,1,41,59,1,0,2
K Joshi (Aut),4,3,1,41,41,0,4,2
B Mavuta (ZIM),3,3,2,41,23,0,3,2
D Muhumuza (UGA),4,4,0,41,36,1,3,1
Murid Ekrami (Belg),3,2,0,41,48,0,2,0
K Pala (PNG),2,2,1,41,30,0,4,2
Amir Hamza (AFG),31,9,5,40,38,1,3,1
TS Chisoro (ZIM),12,6,2,40,42,0,2,2
BCJ Cutting (AUS/World),7,5,1,40,27,1,2,3
Fitri Sham (MAL),15,10,4,40,56,0,2,0
Imran Bulbulia (PNM),3,3,0,40,42,1,4,1
LA Musiani (Arg),5,5,1,40,60,1,4,0
E Packard (GIBR),4,4,0,40,49,0,2,1
S Ravikumar (CRC),3,3,1,40,44,1,3,1
Sahibzada Farhan (PAK),3,3,0,40,46,1,2,3
F Stoman (PORT),4,4,1,40,61,0,1,1
Talha Khan (GER),1,1,1,40,41,0,4,0
Tariq Aziz (PORT),4,4,1,40,47,1,1,2
KDK Vithanage (SL),3,3,0,40,34,0,7,0
RR David (CAN),4,4,0,39,65,0,2,1
Imran Khan (PORT),4,3,1,39,32,0,2,3
Munir Dar (HKG),2,2,0,39,33,0,3,1
Rafatullah Mohmand (PAK),3,3,0,39,45,1,4,0
P Silas (Botsw),4,3,0,39,44,0,1,1
S Tobgay (BHU),2,2,0,39,58,0,1,0
PA van Meekeren (NL),41,9,1,39,40,3,0,3
RI Ahmed (NL),2,2,0,38,50,0,2,0
Ameer Saiyed (Botsw),4,3,0,38,47,0,4,0
R Flannigan (SCOT),4,4,1,38,33,1,4,0
D Kansonkho (MWI),7,4,0,38,47,2,5,0
AK Kitchen (NZ),5,4,1,38,32,0,3,1
BF Mailata (Samoa),4,4,0,38,48,0,2,1
Mohammad Amin (KUW),4,4,2,38,39,0,5,0
D Mongia (INDIA),1,1,0,38,45,0,4,1
F Mutizwa (ZIM),3,3,0,38,36,1,3,0
H Pragji (Botsw),4,4,1,38,65,0,1,0
BJ Watling (NZ),5,4,0,38,58,0,3,0
SJ Benn (WI),24,7,4,37,42,1,5,1
VD Chandra (PNM),3,2,0,37,30,0,3,3
I Danladi (NGA),3,2,0,37,38,1,4,1
CJ Delany (GIBR),4,4,0,37,60,1,2,0
JS Foster (ENG),5,5,2,37,32,0,0,1
RM Hira (NZ),15,3,1,37,33,0,4,1
J Hirschi (MALTA),4,4,0,37,62,0,0,0
AF Ifill (Caym),6,6,1,37,61,0,2,1
R Kumar (ROM),4,3,1,37,27,0,6,0
D Manani (ROM),2,2,1,37,32,0,4,1
S Sola (Samoa),4,3,0,37,36,0,1,3
CA Soper (PNG),13,6,4,37,41,0,0,3
BM Wheeler (NZ),6,4,2,37,28,0,3,2
RJ Campbell (HKG),3,3,0,36,47,1,6,0
TK Curran (ENG),15,6,4,36,27,0,0,3
J Dunn (VAN),4,3,0,36,41,0,0,1
J Jojo (DEN),7,5,3,36,27,0,1,1
TE Kane (IRE),7,3,1,36,23,0,5,0
Mohammed Qasim (UAE),3,3,1,36,51,0,2,0
Mohsin Hub (Peru),4,4,1,36,41,1,2,0
PA Patel (INDIA),2,2,0,36,32,0,4,1
Abdul Shakoor (UAE),6,4,2,35,40,0,3,0
MP Biddappa (PHI),4,2,1,35,47,0,1,1
STR Binny (INDIA),3,2,0,35,29,0,2,1
PJ Cummins (AUS),25,11,4,35,37,2,2,1
SM Curran (ENG),5,3,0,35,23,0,3,2
CD de Lange (SCOT),8,3,0,35,22,0,2,2
L Hermida (Mex),5,5,2,35,52,0,1,0
JN Malan (SA),2,2,0,35,37,0,3,2
VV Morea (PNG),5,5,0,35,44,1,4,0
D Murphy (SCOT),4,4,3,35,35,0,1,0
Nazakat Ali (NOR),2,2,0,35,31,0,1,3
Shuvagata Hom (BDESH),5,4,2,35,35,0,3,1
Sultan Ahmed (UAE),17,9,3,35,37,3,0,2
DK Anefie (Ghana),4,4,2,34,38,1,2,0
Arafat Sunny (BDESH),10,6,3,34,30,0,3,1
Hammad Azam (PAK),5,4,1,34,34,0,3,1
Nadeem Ahmed (HKG),24,9,4,34,55,1,2,0
JD Nel (SCOT),10,5,2,34,25,1,3,1
OL Pitcher (BMUDA),3,3,0,34,53,0,1,0
S Rakshit (CZK-R),7,5,1,34,44,1,5,0
Saqib Zulfiqar (NL),6,4,0,34,43,0,1,0
JTS Sumerauer (JER),8,6,1,34,39,0,3,0
W Viraliliu (VAN),10,7,3,34,26,0,3,2
PSP Handscomb (AUS),2,2,1,33,33,0,1,0
GO Jones (ENG),2,2,1,33,25,0,5,0
FJ Klaassen (NL),21,7,1,33,34,1,2,0
MF Maharoof (SL),8,5,1,33,43,1,0,1
CB Mpofu (ZIM),30,10,6,33,40,3,3,1
K Nestor (GIBR),4,4,1,33,35,0,1,2
I Pandey (NEPAL),4,4,0,33,50,0,5,0
RJMGM Rupasinghe (SL),2,2,0,33,39,0,2,0
Simandeep Singh (HKG),7,7,2,33,32,0,2,0
WPUJC Vaas (SL),6,2,1,33,41,0,1,0
AA Westphal (Mex),5,5,0,33,40,0,3,0
Abdul Wahid (Saudi),5,3,1,32,26,0,4,1
KS Bagabena (Ghana),4,3,2,32,32,1,1,0
WD Balaji Rao (CAN),4,4,1,32,30,1,1,2
SE Findlay (WI),2,2,0,32,31,0,4,0
TG Gordon (CAN),3,3,0,32,37,0,3,0
LHB Harrington-Myers (Caym),4,4,1,32,39,1,1,1
Khizer Ahmed (NOR),5,4,2,32,47,0,1,0
GA Lamb (ZIM),5,4,2,32,54,1,1,0
GH O'Brien (BMUDA),11,6,2,32,38,1,1,2
SNJ O'Keefe (AUS),7,5,0,32,26,0,4,1
Shiraz Khan (KUW),6,5,1,32,27,1,2,1
KRP Silva (USA),2,2,0,32,12,0,2,3
