Player,Match,Balls Faced,Wickets,Runs,Balls Bowled,Maiden Overs,Fours,Sixes
MK Pandey (INDIA),32,27,12,587,478,2,40,16
DJG Sammy (WI/World),68,52,18,587,398,3,45,31
PD Collingwood (ENG/World),36,33,2,583,459,3,37,24
DR Smith (WI),33,32,0,582,474,1,62,31
SB Styris (NZ),31,29,2,578,483,0,40,25
SPD Smith (AUS),36,28,7,577,448,1,53,12
Nizakat Khan (HKG),34,32,0,576,478,4,51,19
JA Morkel (SA),50,38,11,572,402,1,29,39
MJ Lumb (ENG),27,27,1,552,413,1,64,21
Zeeshan Maqsood (OMAN),29,25,4,542,481,2,66,12
Babar Hayat (HKG),24,24,4,541,433,2,45,20
Karim Sadiq (AFG),36,36,0,538,493,4,61,10
RN ten Doeschate (NL),22,22,10,533,400,1,27,19
C Kieswetter (ENG),25,25,1,526,470,2,47,23
RR Patel (KENYA),30,26,4,526,414,1,31,31
Hazratullah Zazai (AFG),13,13,1,519,319,1,46,37
F Behardien (SA),38,30,14,518,404,1,37,16
V Sibanda (ZIM),26,26,1,511,503,3,52,11
Noor Ali Zadran (AFG),20,20,1,506,497,1,45,6
Nawroz Mangal (AFG),32,32,4,505,453,4,42,19
Imran Nazir (PAK),25,24,1,500,370,2,59,22
Liton Das (BDESH),25,25,0,497,360,2,44,22
Shafiqullah (AFG),46,42,12,494,340,5,35,31
MJ Clarke (AUS),34,28,5,488,473,2,29,10
CJ Anderson (NZ),31,24,4,485,351,3,30,26
G Malla (NEPAL),24,23,0,482,389,1,46,21
C de Grandhomme (NZ),33,31,7,479,321,3,27,29
TP Visee (NL),27,27,0,478,316,4,65,17
MS Chapman (HKG/NZ),24,23,2,475,416,0,38,13
JDP Oram (NZ),36,30,7,474,339,3,38,22
GJ Bailey (AUS/World),30,26,7,473,346,1,37,20
BKG Mendis (SL),24,24,0,473,353,2,40,21
Gulbadin Naib (AFG),45,37,10,472,393,3,33,22
NJ O'Brien (IRE),30,28,2,466,475,0,40,7
AD Russell (WI),47,39,13,465,329,6,30,32
PM Seelaar (NL),69,40,11,464,423,1,31,8
JEC Franklin (NZ),38,31,8,463,391,2,28,23
CR Ervine (ZIM),22,21,1,461,454,1,43,13
A Vala (PNG),26,24,4,460,427,0,39,13
DJ Malan (ENG),9,9,1,458,293,0,47,20
JD Ryder (NZ),22,21,1,457,358,2,47,18
RE van der Merwe (NL/SA),43,29,12,454,345,4,36,13
Khawar Ali (OMAN),29,28,0,453,482,2,48,12
MD Gunathilaka (SL),21,21,0,452,365,0,49,12
Mohammad Ashraful (BDESH),23,23,0,450,356,2,48,11
Rameez Shahzad (UAE),22,21,3,449,404,2,37,13
Usman Ghani (AFG),19,19,1,445,407,0,44,12
Younis Khan (PAK),25,23,3,442,364,2,31,12
NR Kumar (CAN),18,16,2,434,336,1,34,13
MD Shanaka (SL),35,35,7,434,386,7,29,24
N Dickwella (SL),23,22,0,429,309,2,57,8
Muhammad Tanveer (QAT),15,15,4,428,331,0,36,22
PL Mommsen (SCOT),24,19,7,419,329,1,32,11
Syed Aziz (MAL),14,14,2,415,297,2,43,16
RR Pant (INDIA),26,24,4,409,336,3,28,18
Aqib Ilyas (OMAN),22,22,4,408,356,1,47,7
TH David (SGP),12,12,1,408,274,0,36,17
MG Erasmus (NAM),16,14,3,407,293,0,33,20
MW Machan (SCOT),13,13,3,407,318,0,37,7
WU Tharanga (SL),26,26,1,407,330,3,42,12
Sikandar Raza (ZIM),32,30,0,406,384,0,34,8
EC Joyce (ENG/IRE),18,15,3,405,431,0,30,5
TLW Cooper (NL),18,17,3,404,306,2,38,16
BJ Haddin (AUS),34,29,6,402,351,2,30,13
RT Ponting (AUS),17,16,2,401,302,2,41,11
HH Gibbs (SA),23,23,1,400,318,4,45,12
KD Karthik (ICC/INDIA),32,26,14,399,278,2,42,15
V Sehwag (INDIA),19,18,0,394,271,1,43,16
Abdul Razzaq (PAK),32,29,10,393,337,2,21,21
Rizwan Cheema (CAN),24,24,2,389,314,5,33,28
SJ Baard (NAM),13,13,2,387,305,1,32,13
AA Obanda (KENYA),30,28,2,381,362,5,49,7
CJA Amini (PNG),23,18,4,377,324,2,16,13
Mashrafe Mortaza (BDESH),54,39,11,377,277,6,28,23
AM Rahane (INDIA),20,20,2,375,331,2,32,6
J Rasu (VAN),13,13,0,374,338,0,27,16
Hussain Talat (PAK),14,14,1,371,309,1,35,5
Nasir Hossain (BDESH),31,24,4,370,326,2,30,7
JW Jenner (JER),17,17,2,365,299,2,24,14
PJ Moor (ZIM),21,19,4,364,286,0,22,24
Nasir Jamshed (PAK),18,18,1,363,320,1,34,12
NS Dhaliwal (CAN),12,11,2,361,291,0,22,16
Sharjeel Khan (PAK),15,15,0,360,262,0,48,13
L Ronchi (AUS/ICC/NZ),33,26,6,359,256,5,30,14
R Sandaruwan (KUW),10,10,1,358,216,2,29,24
S Bau (PNG),23,17,3,356,338,1,21,11
Anamul Haque (BDESH),13,13,2,355,301,1,38,12
KD Shah (HKG),26,22,3,351,340,3,26,10
SW Billings (ENG/ICC),26,23,3,348,255,1,33,11
S Chandramohan (SGP),12,12,1,348,292,3,33,15
OA Shah (ENG),17,15,1,347,284,0,26,13
SO Tikolo (KENYA),15,15,3,345,281,3,46,6
S Chanderpaul (WI),22,22,5,343,347,0,34,5
DM Bravo (WI),20,18,1,340,317,3,28,13
JM Vince (ENG),12,12,0,340,275,0,34,9
A Symonds (AUS),14,11,4,337,199,2,33,10
N Davin (NAM),16,16,1,335,216,1,33,15
SA Edwards (NL),29,22,8,334,229,1,33,6
Asif Ali (PAK),25,24,6,331,258,1,15,19
Faisal Javed (QAT),15,15,0,330,212,1,45,11
SR Thompson (IRE),41,30,8,328,254,1,23,14
RJ Nicol (NZ),21,19,0,327,296,2,33,11
RR Rossouw (SA),15,14,3,327,237,2,29,12
Aamir Kaleem (OMAN),25,22,4,325,306,4,26,9
LE Bosman (SA),14,14,1,323,219,2,27,20
Anshuman Rath (HKG),20,19,2,321,344,1,31,2
N Vanua (PNG),25,22,8,321,211,4,12,23
TM Head (AUS),16,15,3,319,245,0,19,10
TL Seifert (NZ),19,18,1,316,228,2,22,21
BDH Stevens (JER),17,17,1,316,315,1,30,6
GJ Delany (IRE),17,15,3,314,206,0,28,12
N Nipiko (VAN),14,14,2,312,297,1,16,13
N Pooran (WI),16,16,3,312,247,1,24,17
R Powell (WI),23,18,3,311,250,1,26,13
Virandeep Singh (MAL),12,12,0,311,309,1,27,7
CR Brathwaite (WI),41,27,6,310,274,3,13,22
HH Pandya (INDIA),40,25,6,310,210,2,18,19
S Vesawkar (NEPAL),17,16,3,310,313,0,25,7
ML Hayden (AUS),9,9,3,308,214,0,37,13
NJ Ferraby (JER),14,14,1,303,257,2,38,2
Tamoor Sajjad (QAT),12,11,2,301,216,1,24,14
NL McCullum (NZ),63,41,15,299,297,4,19,8
RR Sarwan (WI),18,16,3,298,286,1,19,6
